N_PROF,PRES,TEMP,PSAL,LATITUDE,LONGITUDE,JULD,float_id,file
0,29.0,27.243,35.374,-9.857,55.953,2002-11-11 09:20:28.000017920,1900121,D1900121_001.nc
0,29.0,27.243,35.374,-9.857,55.953,2002-11-11 09:20:28.000017920,1900121,D1900121_001.nc
0,29.0,27.243,35.374,-9.857,55.953,2002-11-11 09:20:28.000017920,1900121,D1900121_001.nc
0,34.4,27.239,35.375,-9.857,55.953,2002-11-11 09:20:28.000017920,1900121,D1900121_001.nc
0,34.4,27.239,35.375,-9.857,55.953,2002-11-11 09:20:28.000017920,1900121,D1900121_001.nc
0,34.4,27.239,35.375,-9.857,55.953,2002-11-11 09:20:28.000017920,1900121,D1900121_001.nc
0,34.4,27.239,35.375,-9.857,55.953,2002-11-11 09:20:28.000017920,1900121,D1900121_001.nc
0,34.4,27.239,35.375,-9.857,55.953,2002-11-11 09:20:28.000017920,1900121,D1900121_001.nc
0,34.4,27.239,35.375,-9.857,55.953,2002-11-11 09:20:28.000017920,1900121,D1900121_001.nc
0,34.4,27.239,35.375,-9.857,55.953,2002-11-11 09:20:28.000017920,1900121,D1900121_001.nc
0,34.4,27.239,35.375,-9.857,55.953,2002-11-11 09:20:28.000017920,1900121,D1900121_001.nc
0,34.4,27.239,35.375,-9.857,55.953,2002-11-11 09:20:28.000017920,1900121,D1900121_001.nc
0,39.2,27.231,35.374,-9.857,55.953,2002-11-11 09:20:28.000017920,1900121,D1900121_001.nc
0,39.2,27.231,35.374,-9.857,55.953,2002-11-11 09:20:28.000017920,1900121,D1900121_001.nc
0,39.2,27.231,35.374,-9.857,55.953,2002-11-11 09:20:28.000017920,1900121,D1900121_001.nc
0,39.2,27.231,35.374,-9.857,55.953,2002-11-11 09:20:28.000017920,1900121,D1900121_001.nc
0,39.2,27.231,35.374,-9.857,55.953,2002-11-11 09:20:28.000017920,1900121,D1900121_001.nc
0,39.2,27.231,35.374,-9.857,55.953,2002-11-11 09:20:28.000017920,1900121,D1900121_001.nc
0,39.2,27.231,35.374,-9.857,55.953,2002-11-11 09:20:28.000017920,1900121,D1900121_001.nc
0,39.2,27.231,35.374,-9.857,55.953,2002-11-11 09:20:28.000017920,1900121,D1900121_001.nc
0,39.2,27.231,35.374,-9.857,55.953,2002-11-11 09:20:28.000017920,1900121,D1900121_001.nc
0,43.9,27.227,35.372,-9.857,55.953,2002-11-11 09:20:28.000017920,1900121,D1900121_001.nc
0,43.9,27.227,35.372,-9.857,55.953,2002-11-11 09:20:28.000017920,1900121,D1900121_001.nc
0,43.9,27.227,35.372,-9.857,55.953,2002-11-11 09:20:28.000017920,1900121,D1900121_001.nc
0,43.9,27.227,35.372,-9.857,55.953,2002-11-11 09:20:28.000017920,1900121,D1900121_001.nc
0,43.9,27.227,35.372,-9.857,55.953,2002-11-11 09:20:28.000017920,1900121,D1900121_001.nc
0,43.9,27.227,35.372,-9.857,55.953,2002-11-11 09:20:28.000017920,1900121,D1900121_001.nc
0,43.9,27.227,35.372,-9.857,55.953,2002-11-11 09:20:28.000017920,1900121,D1900121_001.nc
0,43.9,27.227,35.372,-9.857,55.953,2002-11-11 09:20:28.000017920,1900121,D1900121_001.nc
0,43.9,27.227,35.372,-9.857,55.953,2002-11-11 09:20:28.000017920,1900121,D1900121_001.nc
0,49.3,27.181,35.369,-9.857,55.953,2002-11-11 09:20:28.000017920,1900121,D1900121_001.nc
0,49.3,27.181,35.369,-9.857,55.953,2002-11-11 09:20:28.000017920,1900121,D1900121_001.nc
0,49.3,27.181,35.369,-9.857,55.953,2002-11-11 09:20:28.000017920,1900121,D1900121_001.nc
0,49.3,27.181,35.369,-9.857,55.953,2002-11-11 09:20:28.000017920,1900121,D1900121_001.nc
0,49.3,27.181,35.369,-9.857,55.953,2002-11-11 09:20:28.000017920,1900121,D1900121_001.nc
0,49.3,27.181,35.369,-9.857,55.953,2002-11-11 09:20:28.000017920,1900121,D1900121_001.nc
0,49.3,27.181,35.369,-9.857,55.953,2002-11-11 09:20:28.000017920,1900121,D1900121_001.nc
0,49.3,27.181,35.369,-9.857,55.953,2002-11-11 09:20:28.000017920,1900121,D1900121_001.nc
0,49.3,27.181,35.369,-9.857,55.953,2002-11-11 09:20:28.000017920,1900121,D1900121_001.nc
0,59.4,26.874,35.401,-9.857,55.953,2002-11-11 09:20:28.000017920,1900121,D1900121_001.nc
0,59.4,26.874,35.401,-9.857,55.953,2002-11-11 09:20:28.000017920,1900121,D1900121_001.nc
0,59.4,26.874,35.401,-9.857,55.953,2002-11-11 09:20:28.000017920,1900121,D1900121_001.nc
0,59.4,26.874,35.401,-9.857,55.953,2002-11-11 09:20:28.000017920,1900121,D1900121_001.nc
0,59.4,26.874,35.401,-9.857,55.953,2002-11-11 09:20:28.000017920,1900121,D1900121_001.nc
0,59.4,26.874,35.401,-9.857,55.953,2002-11-11 09:20:28.000017920,1900121,D1900121_001.nc
0,59.4,26.874,35.401,-9.857,55.953,2002-11-11 09:20:28.000017920,1900121,D1900121_001.nc
0,59.4,26.874,35.401,-9.857,55.953,2002-11-11 09:20:28.000017920,1900121,D1900121_001.nc
0,59.4,26.874,35.401,-9.857,55.953,2002-11-11 09:20:28.000017920,1900121,D1900121_001.nc
0,69.6,26.231,35.401,-9.857,55.953,2002-11-11 09:20:28.000017920,1900121,D1900121_001.nc
0,69.6,26.231,35.401,-9.857,55.953,2002-11-11 09:20:28.000017920,1900121,D1900121_001.nc
0,69.6,26.231,35.401,-9.857,55.953,2002-11-11 09:20:28.000017920,1900121,D1900121_001.nc
0,69.6,26.231,35.401,-9.857,55.953,2002-11-11 09:20:28.000017920,1900121,D1900121_001.nc
